Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;1;12;3;1;54;6;1;6;6;23;0;0;63;none;none;Long Methodt;none;none;none
0.0;4;8;6;38;1;77;0;1;4;0;26;1;67;65;none;Feature Envy;none;none;none;none
17.0;65;60;25;1;1;1202;0;2;31;0;221;31;124;92;none;none;none;none;none;Shotgun Surgery
2.0;14;3;29;1;1;162;0;1;30;0;98;8;103;84;none;none;none;none;none;none
0.0;2;1;8;0;1;31;4;1;8;0;27;0;50;77;none;none;none;none;none;none
0.0;1;1;4;0;1;25;0;1;4;0;23;0;100;0;none;none;none;none;none;none
0.0;6;4;2;0;2;34;0;1;2;0;25;3;100;0;none;none;none;none;none;none
2.0;4;15;2;0;1;109;0;1;3;0;31;1;150;56;none;none;none;none;none;none
2.0;2;1;1;0;3;31;1;1;3;0;195;1;200;50;none;none;none;none;none;none
3.0;2;2;1;0;4;39;1;1;3;0;207;1;200;50;none;none;none;none;none;none
1.0;2;1;1;0;6;20;1;1;2;0;185;1;100;50;none;none;none;none;none;none
1.0;2;1;1;0;5;20;1;1;2;0;169;1;100;50;none;none;none;none;none;none
0.0;0;1;1;1;3;7;0;1;1;0;39;0;100;0;none;none;none;none;none;none
10.0;24;14;57;14;6;1290;0;3;77;0;487;3;135;88;none;Feature Envy;none;none;none;Shotgun Surgery
0.0;0;3;4;1;1;27;1;1;5;0;17;1;100;40;none;none;none;none;none;none
0.0;0;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
6.0;5;4;1;0;5;73;1;1;3;0;211;3;200;50;none;none;none;none;none;none
2.0;4;2;1;0;5;37;1;1;3;0;185;2;200;50;none;none;none;none;none;none
3.0;4;3;1;0;5;38;1;1;3;0;242;2;200;50;none;none;none;none;none;none
4.0;6;5;1;0;6;56;1;1;3;0;260;3;200;50;none;none;none;none;none;none
2.0;2;1;1;0;5;39;1;1;3;0;201;1;200;50;none;none;none;none;none;none
2.0;2;1;1;0;5;30;1;1;3;0;183;1;200;50;none;none;none;none;none;none
0.0;0;1;2;1;0;4;0;1;1;0;38;0;50;0;none;none;none;none;none;none
1.0;2;1;1;0;3;26;1;1;2;0;152;1;100;50;none;none;none;none;none;none
2.0;2;1;1;0;5;22;1;1;2;0;169;1;100;50;none;none;none;none;none;none
1.0;2;1;1;0;5;21;1;1;2;0;184;1;100;50;none;none;none;none;none;none
3.0;3;7;3;0;4;44;0;1;3;0;173;2;100;100;none;none;none;none;none;none
13.0;32;22;8;1;5;658;0;3;53;0;433;10;663;87;none;none;none;Large Class;none;Shotgun Surgery
0.0;1;_;0;0;1;5;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;0;0;1;12;0;1;0;0;11;0;0;25;none;none;none;none;none;none
2.0;8;20;17;5;4;224;0;1;20;0;209;1;118;86;none;none;none;none;none;none
1.0;3;2;4;2;4;32;0;1;4;0;174;0;100;66;none;none;none;none;none;none
8.0;17;10;32;94;4;558;0;1;41;0;277;8;128;79;none;none;none;none;none;none
8.0;14;12;9;4;5;254;0;1;12;0;266;5;133;81;none;none;none;none;none;none
1.0;1;3;17;4;4;116;0;1;17;0;192;0;100;90;none;none;none;none;none;none
3.0;7;9;6;3;4;133;0;1;8;0;186;4;133;85;none;none;none;none;none;none
0.0;1;2;4;1;1;12;0;1;1;4;15;0;25;80;none;none;none;none;none;none
3.0;6;7;10;8;1;289;0;1;28;0;73;2;280;83;none;Feature Envy;none;none;none;none
4.0;17;43;63;37;1;861;0;1;82;0;166;10;130;97;none;none;none;none;none;Shotgun Surgery
4.0;5;8;8;1;1;174;4;1;12;0;41;1;100;71;none;none;none;none;none;none
0.0;2;1;0;0;1;11;0;1;0;0;11;0;0;83;none;none;none;none;none;none
3.0;5;3;8;3;2;76;0;1;8;0;149;1;100;82;none;none;none;none;none;none
2.0;11;18;0;0;1;258;0;2;7;0;48;6;7;77;none;none;none;none;none;Shotgun Surgery
0.0;0;1;0;0;3;12;0;1;1;0;25;0;1;50;none;none;none;none;none;none
2.0;11;2;14;4;4;84;9;1;16;0;227;1;50;89;none;none;none;none;none;none
2.0;10;3;3;2;2;28;0;1;3;0;45;4;100;66;Refused Bequest;none;none;none;none;none
3.0;14;1;7;0;6;47;0;1;9;0;381;2;129;100;none;none;none;none;none;none
2.0;13;2;17;4;6;99;12;1;19;0;281;1;41;90;none;none;none;none;none;none
7.0;10;23;16;20;3;494;0;2;32;0;191;2;200;80;none;none;none;none;none;Shotgun Surgery
0.0;1;1;0;0;1;9;0;1;0;0;11;0;0;33;none;none;none;none;none;none
3.0;1;2;6;0;4;41;0;1;6;0;164;0;100;78;none;none;none;none;none;none
0.0;0;1;0;0;5;6;0;1;0;0;24;0;0;100;none;none;none;none;none;none
6.0;13;23;25;1;1;1280;0;1;54;0;129;5;216;76;none;none;none;none;Data Class;Shotgun Surgery
1.0;16;2;0;0;1;93;0;1;8;0;43;6;8;0;none;none;none;none;none;none
7.0;4;13;11;3;4;308;0;1;17;0;196;3;155;100;none;none;none;none;none;none
4.0;6;8;14;0;1;287;5;1;24;0;62;3;136;81;none;none;none;none;none;none
0.0;1;1;19;3;1;43;7;1;10;9;32;0;16;87;none;none;Long Methodt;none;none;none
0.0;2;1;11;0;3;60;10;1;11;0;59;0;9;81;none;none;Long Methodt;none;none;none
0.0;1;1;14;1;2;41;5;1;6;1;43;0;7;86;Refused Bequest;none;none;none;none;none
0.0;1;1;3;1;2;18;2;1;3;0;37;0;33;33;Refused Bequest;none;none;none;none;none
0.0;2;1;13;0;0;15;0;1;10;0;22;0;77;0;none;none;none;none;none;none
1.0;2;1;16;0;0;20;0;1;11;0;23;0;69;0;none;none;none;none;none;none
0.0;0;1;47;0;0;49;0;1;1;0;1;0;2;0;none;none;none;none;none;none
0.0;4;1;20;0;0;22;0;1;16;0;28;0;80;0;none;none;none;none;none;none
0.0;0;1;10;0;0;12;0;1;8;0;20;0;80;0;none;none;none;none;none;none
0.0;9;1;20;0;0;34;0;1;20;0;32;0;100;0;none;none;none;none;none;none
0.0;2;1;8;0;0;16;0;1;8;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;16;0;100;0;none;none;none;none;none;none
0.0;1;1;18;0;0;20;0;1;12;0;12;0;67;0;none;none;none;none;none;none
0.0;1;1;2;0;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;0;1;6;0;0;13;0;1;6;0;11;0;100;0;none;none;none;none;none;none
0.0;3;1;4;0;0;8;0;1;4;0;24;0;100;0;none;none;none;none;none;none
0.0;0;1;5;0;4;11;0;1;0;1;24;0;0;80;none;none;none;none;none;none
0.0;2;1;1;0;0;5;0;1;1;0;20;0;100;0;none;none;none;none;none;none
0.0;3;1;3;0;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;5;1;10;0;0;14;0;1;10;0;10;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;7;0;100;0;none;none;none;none;none;none
0.0;3;1;13;0;0;21;0;1;13;0;18;0;100;0;none;none;none;none;none;none
0.0;2;1;9;0;0;15;0;1;5;0;5;0;56;0;none;none;none;none;none;none
1.0;3;3;137;67;1;258;0;2;6;0;24;1;4;98;none;Feature Envy;none;none;none;none
0.0;1;2;2;0;1;17;0;1;2;0;16;0;100;16;none;none;none;none;none;none
0.0;4;1;1;1;0;5;0;1;1;0;2;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
1.0;1;1;3;0;1;10;0;1;2;1;14;1;67;50;none;none;none;none;none;none
2.0;10;9;0;0;3;103;0;1;12;0;109;3;12;92;none;none;none;none;none;none
6.0;13;49;0;0;4;346;0;1;14;0;144;4;14;90;none;none;none;none;none;Shotgun Surgery
3.0;10;34;12;0;2;1041;0;1;12;0;83;3;100;0;none;none;none;none;Data Class;Shotgun Surgery
9.0;21;30;2;4;5;502;0;2;8;0;157;1;400;65;none;none;none;Large Class;none;Shotgun Surgery
0.0;9;4;0;0;3;41;0;1;2;0;35;5;2;0;none;none;none;none;none;none
0.0;0;1;0;0;2;7;0;1;1;0;71;0;1;0;none;none;none;none;none;none
13.0;23;33;15;8;2;1311;2;1;42;0;181;5;267;90;none;none;none;Large Class;none;Shotgun Surgery
11.0;27;30;14;6;2;917;1;4;32;0;170;6;221;92;none;none;none;Large Class;none;Shotgun Surgery
0.0;2;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;3;3;3;1;28;0;1;3;0;17;1;100;25;none;none;none;none;none;none
5.0;18;30;1;0;1;204;0;1;5;0;50;10;500;0;none;none;none;none;none;none
4.0;28;21;10;3;3;730;0;6;13;0;151;2;130;91;none;none;none;none;none;Shotgun Surgery
1.0;20;5;0;0;2;66;0;1;5;0;41;12;5;0;none;none;none;none;none;none
2.0;19;11;1;0;1;100;0;1;1;0;33;11;100;0;none;none;none;none;none;none
2.0;14;21;1;0;1;149;0;1;1;0;32;8;100;0;none;none;none;none;none;none
2.0;11;12;1;0;1;115;0;1;1;0;29;5;100;0;none;none;none;none;none;none
5.0;17;6;1;0;1;51;0;1;1;0;31;8;100;0;none;none;none;none;none;none
0.0;0;1;2;1;0;4;0;1;2;0;12;0;100;0;none;none;none;none;none;none
0.0;3;1;2;2;0;6;0;1;2;0;2;0;100;0;none;none;none;none;none;none
