Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;15;25;4;0;3;174;0;1;6;0;63;9;150;0;none;none;none;none;none;Shotgun Surgery
0.0;4;16;0;0;1;155;0;1;14;0;42;3;14;0;none;none;none;none;none;none
1.0;11;15;4;0;3;120;0;1;7;0;57;6;175;87;none;none;none;none;none;Shotgun Surgery
3.0;18;52;2;0;3;1185;0;2;39;0;129;12;1950;96;none;none;none;none;none;Shotgun Surgery
0.0;0;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;2;4;4;0;3;45;0;1;5;0;32;0;125;0;none;none;none;none;none;none
1.0;12;13;5;0;3;128;0;1;7;0;60;8;140;0;none;none;none;none;none;Shotgun Surgery
2.0;9;6;4;0;3;62;0;1;5;0;51;6;125;0;none;none;none;none;none;none
1.0;11;19;4;0;3;126;0;1;6;0;51;8;150;0;none;none;none;none;none;Shotgun Surgery
2.0;17;41;6;0;3;445;0;1;15;0;98;12;250;90;none;none;none;none;none;Shotgun Surgery
1.0;13;20;4;0;3;158;0;1;6;0;55;9;150;0;none;none;none;none;none;Shotgun Surgery
1.0;15;28;4;0;3;164;0;1;6;0;61;10;150;0;none;none;none;none;none;Shotgun Surgery
0.0;6;7;4;0;3;66;0;1;5;0;46;2;125;0;none;none;none;none;none;none
1.0;14;11;4;0;3;161;0;1;7;0;61;10;175;0;none;none;none;none;none;none
0.0;5;4;5;0;3;91;0;1;7;0;42;3;140;0;none;none;none;none;none;none
1.0;10;1;4;0;1;81;0;1;4;0;27;4;100;0;none;none;none;none;none;none
0.0;2;1;2;0;4;16;0;1;2;0;49;0;100;100;none;none;none;none;none;none
1.0;11;5;4;0;3;91;0;1;9;0;64;8;225;0;none;none;none;none;none;none
1.0;9;1;4;0;3;46;0;1;5;0;42;6;125;0;none;none;none;none;none;none
0.0;6;7;4;0;3;66;0;1;5;0;45;3;125;0;none;none;none;none;none;none
1.0;18;28;11;16;1;842;0;3;27;0;95;10;245;98;none;none;none;none;none;Shotgun Surgery
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;2;0;0;1;15;0;1;1;0;14;0;1;0;none;none;none;none;none;none
1.0;14;14;4;0;3;136;0;1;7;0;67;9;175;0;none;none;none;none;none;Shotgun Surgery
1.0;8;6;4;0;3;73;0;1;6;0;41;5;150;0;none;none;none;none;none;none
0.0;7;6;4;0;3;65;0;1;5;0;48;5;125;0;none;none;none;none;none;none
