Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;11;7;16;2;0;418;0;4;21;0;33;3;131;88;none;none;none;none;none;none
0.0;0;1;0;0;1;6;0;1;0;0;11;0;0;100;none;none;none;none;none;none
0.0;0;1;2;0;0;13;1;1;2;0;2;0;50;33;none;none;none;none;none;none
0.0;0;1;2;1;1;11;1;1;2;0;13;0;50;33;none;none;none;none;none;none
0.0;3;5;2;0;0;296;0;3;4;0;18;1;200;73;none;none;none;none;none;none
0.0;3;5;4;1;1;227;0;1;6;0;28;1;150;71;none;none;none;none;none;none
0.0;1;1;2;0;0;8;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;4;4;2;1;0;90;0;1;4;0;9;3;200;70;none;none;none;none;none;none
0.0;0;1;3;6;0;22;2;1;3;0;3;0;33;50;none;none;none;none;none;none
0.0;0;1;1;0;1;14;0;1;1;0;6;1;100;0;none;none;none;none;none;none
0.0;0;3;4;0;0;44;0;1;6;0;9;0;150;50;none;none;none;none;none;none
0.0;3;14;10;0;0;287;0;2;14;0;33;3;140;88;none;none;none;none;none;none
0.0;0;1;3;1;0;12;0;1;3;0;4;0;100;66;none;none;none;none;none;none
1.0;5;5;0;0;1;48;0;1;3;0;17;1;3;66;none;none;none;none;none;none
0.0;3;1;0;0;1;21;0;1;2;0;12;1;2;0;none;none;none;none;none;none
0.0;1;1;3;0;0;32;0;1;3;0;3;0;100;50;none;none;none;none;none;none
0.0;2;3;3;0;0;48;0;1;3;0;8;0;100;53;none;none;none;none;none;none
0.0;1;1;1;0;0;94;0;1;1;0;1;0;100;55;none;none;none;none;none;none
1.0;1;2;3;0;0;81;0;1;4;0;12;1;133;66;none;none;none;none;none;none
0.0;5;2;12;0;0;97;0;1;12;0;23;0;100;66;none;none;none;none;none;none
0.0;12;3;12;0;1;400;0;3;16;0;49;1;133;89;none;none;none;none;none;none
0.0;0;1;0;0;0;11;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;2;1;3;1;0;25;0;1;3;0;7;0;100;68;none;none;none;none;none;none
0.0;1;3;9;0;2;104;0;1;11;0;57;0;122;62;none;none;none;none;none;none
0.0;1;14;7;0;0;99;0;1;6;0;11;1;86;76;none;none;none;none;none;none
0.0;0;1;1;0;0;18;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;3;2;0;0;23;0;1;2;0;2;0;100;33;none;none;none;none;none;none
0.0;0;1;0;0;3;5;0;1;0;0;27;0;0;0;none;none;none;none;none;none
0.0;8;12;20;0;0;522;0;5;23;0;53;0;115;91;none;none;none;none;none;none
0.0;8;10;2;0;0;51;0;1;2;0;10;5;100;0;none;none;none;none;none;none
1.0;5;12;3;1;2;120;0;1;8;0;38;2;267;72;none;none;none;none;none;none
0.0;2;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;9;6;1;0;77;0;1;7;0;13;0;117;72;none;none;none;none;none;none
0.0;0;1;5;0;0;45;0;1;5;0;5;0;100;71;none;none;none;none;none;none
0.0;9;7;22;2;0;650;5;1;32;0;55;4;123;92;none;none;none;none;none;none
0.0;1;1;6;0;0;90;0;1;3;0;3;0;50;80;none;none;none;none;none;none
0.0;2;4;5;0;1;82;0;1;6;0;24;0;120;69;none;none;none;none;none;none
0.0;1;1;4;0;0;46;0;1;4;0;4;0;100;60;none;none;none;none;none;none
0.0;0;1;0;0;1;4;0;1;0;0;35;0;0;0;Refused Bequest;none;none;none;none;none
0.0;0;3;4;0;1;56;0;1;6;0;9;0;150;84;none;none;none;none;none;none
0.0;0;1;4;0;0;47;0;1;4;0;4;0;100;64;none;none;none;none;none;none
2.0;10;5;14;0;2;345;4;3;22;0;50;4;129;88;none;none;none;none;none;none
0.0;0;1;3;1;0;6;0;1;1;0;1;0;33;100;none;none;none;none;none;none
0.0;0;1;9;1;0;16;0;1;1;0;1;0;11;83;none;none;none;none;none;none
0.0;2;14;16;0;1;459;0;2;22;0;41;1;138;90;none;none;none;none;none;none
0.0;3;1;2;0;1;21;0;1;2;0;15;0;100;50;none;none;none;none;none;none
0.0;2;5;1;0;0;49;0;1;2;0;7;0;200;33;none;none;none;none;none;none
0.0;0;2;1;0;1;150;0;3;1;0;14;0;100;86;none;none;none;none;none;none
0.0;1;2;2;0;1;20;0;1;3;0;15;1;150;19;none;none;none;none;none;none
0.0;0;_;0;0;0;6;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;6;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;1;1;2;0;0;21;0;1;2;0;2;0;100;33;none;none;none;none;none;none
1.0;1;2;2;0;3;62;0;1;3;0;68;0;150;71;none;none;none;none;none;none
0.0;2;2;7;0;0;54;0;2;7;0;7;0;100;77;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
1.0;6;3;4;0;0;66;0;2;4;0;7;0;100;56;none;none;none;none;none;none
0.0;0;1;2;1;0;28;0;1;1;0;1;0;50;62;none;none;none;none;none;none
1.0;3;3;5;0;0;144;0;2;7;0;16;1;140;78;Refused Bequest;none;none;none;none;none
0.0;5;3;2;1;2;33;0;1;2;0;62;1;100;33;none;none;none;none;none;none
1.0;6;14;25;2;0;334;3;1;34;0;61;3;124;92;none;none;none;none;none;none
1.0;18;10;21;7;1;353;2;1;25;0;95;6;110;93;none;Feature Envy;none;none;none;none
0.0;6;4;5;1;1;198;1;1;5;0;24;3;80;76;none;none;none;none;none;none
