Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;12;5;3;1;2;68;0;1;4;0;52;5;133;60;none;none;none;none;none;none
0.0;8;3;3;0;2;31;0;1;4;0;47;2;133;100;none;none;none;none;none;none
1.0;9;6;3;0;2;77;0;1;4;0;55;3;133;100;none;none;none;none;none;none
1.0;16;10;20;10;1;161;0;1;24;0;56;4;120;80;none;Feature Envy;none;none;none;none
0.0;12;4;3;0;2;49;0;1;4;0;52;3;133;100;none;none;none;none;none;none
0.0;12;4;3;0;2;48;0;1;4;0;52;3;133;100;none;none;none;none;none;none
1.0;9;4;3;0;2;41;0;1;4;0;52;3;133;100;none;none;none;none;none;none
0.0;9;5;3;0;2;60;0;1;4;0;55;3;133;100;none;none;none;none;none;none
1.0;11;4;3;0;2;39;0;1;4;0;51;3;133;100;none;none;none;none;none;none
0.0;5;4;2;0;3;38;0;1;3;0;46;1;150;100;none;none;none;none;none;none
0.0;5;3;3;1;1;27;0;1;4;0;22;2;133;19;none;none;none;none;none;none
1.0;22;7;12;0;2;359;0;1;14;0;80;10;117;60;Refused Bequest;none;none;none;none;none
0.0;3;1;3;1;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;4;1;5;2;1;20;0;1;5;0;22;1;100;0;none;none;none;none;none;none
1.0;2;4;6;2;2;60;0;1;6;0;42;2;100;28;none;none;none;none;none;none
1.0;6;6;5;1;2;51;0;1;5;0;41;1;100;56;none;none;none;none;none;none
15.0;73;51;177;30;2;2346;0;1;187;0;438;31;106;97;none;none;none;none;none;Shotgun Surgery
0.0;5;14;25;5;1;207;0;1;25;0;49;4;100;83;none;none;none;none;none;none
2.0;24;12;21;1;3;330;0;1;23;0;339;7;110;78;none;none;none;none;none;none
2.0;25;11;23;1;3;334;0;1;25;0;354;9;109;79;none;none;none;none;none;none
2.0;28;11;15;1;3;279;0;1;18;0;333;8;120;73;none;none;none;none;none;none
3.0;26;11;22;1;3;325;0;1;24;0;354;9;109;78;none;none;none;none;none;none
2.0;40;13;32;0;2;399;0;1;32;0;161;7;100;90;none;none;none;none;none;Shotgun Surgery
5.0;50;19;73;2;2;847;0;1;75;0;240;13;103;96;none;none;none;none;none;Shotgun Surgery
0.0;3;1;1;0;1;7;0;1;1;0;13;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
2.0;14;18;33;2;1;274;0;1;35;0;65;2;106;83;none;none;none;none;none;none
1.0;2;5;22;5;1;122;0;1;22;0;36;1;100;85;none;none;none;none;none;none
0.0;1;4;5;2;1;39;0;1;4;0;17;0;80;70;none;none;none;none;none;none
2.0;13;13;15;1;1;250;0;1;14;0;41;1;93;84;none;none;none;none;none;none
0.0;1;4;6;1;1;41;0;1;4;0;17;0;67;72;none;none;none;none;none;none
0.0;3;1;6;4;0;8;0;1;6;0;6;0;100;0;none;none;none;none;none;none
5.0;33;16;43;1;2;445;0;1;47;0;182;8;109;90;none;none;none;none;none;none
1.0;0;2;1;0;2;24;0;1;1;0;37;0;100;100;none;none;none;none;none;none
1.0;5;7;6;3;2;71;0;1;6;0;41;0;100;72;none;none;none;none;none;none
1.0;17;4;25;0;5;131;0;1;25;0;513;2;100;77;none;none;none;none;none;none
2.0;13;15;22;12;1;224;0;1;24;0;48;2;109;87;none;Feature Envy;none;none;none;none
1.0;9;8;6;1;1;74;0;1;8;0;25;1;133;65;none;none;none;none;none;none
6.0;43;21;48;1;2;593;0;1;53;0;198;10;110;92;none;none;none;Large Class;none;Shotgun Surgery
3.0;37;13;17;1;2;314;0;1;20;0;156;14;118;76;none;none;none;none;none;Shotgun Surgery
0.0;3;1;5;1;0;9;0;1;5;0;5;0;100;0;none;none;none;none;none;none
1.0;3;5;3;0;2;102;0;1;8;0;37;3;267;66;none;none;none;none;none;none
0.0;1;4;6;2;1;44;0;1;4;0;17;0;67;65;none;none;none;none;none;none
0.0;0;11;14;2;1;108;0;1;14;0;26;0;100;74;none;none;none;none;none;none
9.0;69;53;126;7;2;1591;0;1;137;0;360;21;109;96;none;none;none;Large Class;none;Shotgun Surgery
6.0;42;42;7;0;3;662;0;1;10;0;304;18;143;80;none;none;none;none;none;Shotgun Surgery
0.0;2;1;20;3;2;77;0;1;20;0;33;0;100;89;none;none;none;none;none;none
6.0;42;18;61;36;1;588;0;1;59;0;123;8;97;94;none;none;none;none;none;none
0.0;1;4;5;78;1;40;0;1;4;0;17;0;80;70;none;Feature Envy;none;none;none;none
0.0;11;6;11;38;1;94;0;1;13;0;35;2;118;70;none;Feature Envy;none;none;none;none
0.0;2;1;1;6;1;9;0;1;1;0;13;0;100;0;none;none;none;none;none;none
0.0;3;4;1;0;1;13;0;1;1;0;15;1;100;0;none;none;none;none;none;none
0.0;1;9;10;1;1;66;0;1;3;0;15;0;30;72;none;none;none;none;none;none
